,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
7081,GB,United Kingdom,People using at least basic drinking water services (% of population),2017,100.0,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7082,GB,United Kingdom,People using at least basic drinking water services (% of population),2016,99.9999972155672,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7083,US,United States,People using at least basic drinking water services (% of population),2024,,North America,High income,Not classified,-77.032,38.8895
7084,US,United States,People using at least basic drinking water services (% of population),2023,,North America,High income,Not classified,-77.032,38.8895
7085,US,United States,People using at least basic drinking water services (% of population),2022,99.9641128436489,North America,High income,Not classified,-77.032,38.8895
7086,US,United States,People using at least basic drinking water services (% of population),2021,99.8949384148984,North America,High income,Not classified,-77.032,38.8895
7087,US,United States,People using at least basic drinking water services (% of population),2020,99.8204215151458,North America,High income,Not classified,-77.032,38.8895
7088,US,United States,People using at least basic drinking water services (% of population),2019,99.7446309234849,North America,High income,Not classified,-77.032,38.8895
7089,US,United States,People using at least basic drinking water services (% of population),2018,99.6675901670928,North America,High income,Not classified,-77.032,38.8895
7090,US,United States,People using at least basic drinking water services (% of population),2017,99.5893438930694,North America,High income,Not classified,-77.032,38.8895
7091,US,United States,People using at least basic drinking water services (% of population),2016,99.5098953354758,North America,High income,Not classified,-77.032,38.8895
7092,UY,Uruguay,People using at least basic drinking water services (% of population),2024,,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7093,UY,Uruguay,People using at least basic drinking water services (% of population),2023,,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7094,UY,Uruguay,People using at least basic drinking water services (% of population),2022,99.5079806151954,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7095,UY,Uruguay,People using at least basic drinking water services (% of population),2021,99.504241877115,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7096,UY,Uruguay,People using at least basic drinking water services (% of population),2020,99.4957570735158,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7097,UY,Uruguay,People using at least basic drinking water services (% of population),2019,99.4872379896577,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7098,UY,Uruguay,People using at least basic drinking water services (% of population),2018,99.4785987119326,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7099,UY,Uruguay,People using at least basic drinking water services (% of population),2017,99.3980706091476,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7100,UY,Uruguay,People using at least basic drinking water services (% of population),2016,99.2662515756008,Latin America & Caribbean ,High income,IBRD,-56.0675,-34.8941
7101,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2024,,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7102,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2023,,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7103,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2022,96.6228099580116,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
